"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Bolivie","BOL","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11413.9981575501","11383.3569916842","11539.8293801611","11752.8100601044","11938.3145855685","12101.9804738889","12324.0890044446","12604.7510431521","12358.9730669278","12473.0368160171","12443.457765677","12498.3664543598","12579.3086096367","12827.3330339722","13118.5891972945","12925.1020094756","13526.7167552102","13868.3226456907","14002.6047965578","14217.5638632034","14588.2574325079","15709.0609174368","16319.6731592083","16287.3570369798","17991.0887511878","18372.51104172","18441.0413139613","17985.3377126758","18344.4417403735","17445.3727655086","18092.8118644886","17889.3125919706",
"Brésil","BRA","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26587.3280901491","25786.4384457277","26259.5965252898","27218.5663619903","27836.1637437836","28857.1429357297","29026.4981870446","28770.1523929621","28297.6220238473","28563.0161150539","28249.2851849302","28140.9657202681","28137.7845916705","28615.4977031714","28859.9917483708","29351.0785853054","30657.8469456563","31456.4416401237","31228.0572070255","33189.4135243504","34490.3805399434","34220.8623570035","34700.7026690105","34376.9691297752","33253.5818327897","33004.073631386","33310.8883787294","33288.764244603","32920.8242946361","34726.8008046503","34565.6360656452","33118.7933478966",
"Barbade","BRB","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34374.6841160157","32580.7635777521","32988.6357157994","32461.8000658085","31303.0006997713","31063.3323125076","31977.0265772992","32208.0795637051","31500.6230233497","31899.4894404959","30761.4338844713","31439.7265352832","31819.4657347448","31363.0607394312","32261.951083557","34707.5749234683","34728.583392914","35115.8882300192","33906.0972299005","33203.8216072608","32998.6074934991","33522.7716872375","32581.2540772254","34023.3320776617","33706.7644402928","33001.4914555142","33643.5904681853","33431.5762102155","33935.2044412106","30744.7011784746","30268.6599370632","32490.9820487507",
"Brunéi Darussalam","BRN","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","175986.769041634","179453.404115513","175352.495695506","176083.609899977","178733.237869922","178203.011603311","169743.153127885","163077.103130122","162333.287536421","161174.651241884","159919.174769998","161470.90416378","161622.521835313","158164.085057932","154889.283377939","158113.9132128","154819.111714307","148670.470829539","143243.012249757","144390.978964171","147412.613800492","147592.256994223","143466.604948612","139069.315477562","138898.887594919","135811.317740042","138357.726670415","130149.392556601","132940.147327043","134805.451692898","130685.775391633","126385.470557523",
"Bhoutan","BTN","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6600.18054739307","7180.88427881764","7666.15968704231","8024.54315575921","8466.40535092507","8720.27530245816","8965.83035518248","9240.11196462902","9641.53523008909","9603.99293228574","10029.7765271409","10687.5225181683","11052.7617860911","11322.2725077744","11789.293117878","12298.2836996761","14324.0941415655","14700.1806364069","15406.4522505876","17166.5806966575","18360.3194857393","19594.572865915","19558.5500579373","21166.7587346811","21975.5417830921","23440.7034829103","24169.8433104283","24532.5417220092","25328.1634123487","23885.0974883111","24061.8800800293","",
"Botswana","BWA","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34102.3230861947","34877.4431150786","35297.8255340477","36376.8653709028","37693.0210915992","38675.4362035998","40325.4263484497","39162.858186994","40369.5773688462","38928.3643504702","38956.6516038617","41317.0821200182","43415.853855055","42221.2177833537","41814.8520515529","42944.9244852576","43168.9182699668","42368.2263795096","34665.1662569321","39984.5919992894","41529.3848081311","40375.5504645002","43632.9074689417","44969.0581720842","41712.6444396157","43330.5801784853","43828.4964158913","44362.3143876854","44462.9876119742","40938.918024357","43832.9552375899","44685.8698183768",
"République centrafricaine","CAF","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3198.49431815888","2910.33406862539","2834.09597938085","2883.75744990815","3010.24170722788","2816.26734793691","2882.00187838339","2930.39197960395","2947.20386555194","2788.03459386272","2843.44806958958","2877.29768333243","2653.9659563903","2751.9227593554","2714.35033487316","2787.95581521262","2866.73533977624","2867.0979362375","3052.44414001572","3143.57143902573","3237.9355725403","3402.53214950593","2174.26737447084","2211.95258184708","2322.74303948866","2390.97858422701","2453.55860058862","2496.62048637865","2515.5102831974","2504.13543609472","2461.0808580008","2389.80120636698",
"Canada","CAN","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70587.9131736531","72033.1084380116","73657.1401007485","75404.7098151192","76117.9285894259","76655.2777532325","78239.992506671","79335.2994892742","81348.8267819284","83483.1202714079","83909.7841019321","84395.155985779","83891.4799988295","85103.827008097","86712.5244266175","87515.7741731284","87380.0828214686","87026.465703409","85932.905977893","87397.5982286477","88855.9085429769","89414.7995956695","90317.6264940887","92444.5454355942","92565.940695195","92700.5309884491","93585.7847082609","94727.1216716119","94419.2571632191","94700.6093980841","95025.9003012044","94193.8022335899",
"Europe centrale et les pays baltes","CEB","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28987.2199400279","28572.7757984513","29711.2008881104","31077.957222063","32916.8819082902","34566.7204039621","34807.7805986928","35709.0012806689","36930.5842467363","39321.3888025821","41096.5653984677","44114.5134191727","45832.5211146965","48638.3676439613","50631.9997672867","52712.3193140475","54663.2448583888","56082.6005416231","55208.5566816822","56579.2872379665","58852.9849356126","59198.5537486753","59584.2609834845","60412.867525066","62155.395599456","63165.1493848135","65128.7042984669","67777.7294508845","70137.310643707","68633.9050624919","73684.5197570278","75832.9166749181",
"Suisse","CHE","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98919.7933098311","99159.3396878681","99187.9929937511","101086.883294911","100890.808275118","100656.237084958","103476.159819754","104714.652744293","105527.164281257","109246.139659822","109052.086675616","108336.58502575","108395.404395099","111431.035205033","114090.139006905","116428.992033644","118644.190364382","118765.940986564","115199.793852221","120637.203443211","120014.586700091","120000.679355183","120960.62166","121691.67646084","121793.986805666","122388.784549584","123040.529400322","125525.698742397","126160.850197331","123501.338067304","129068.096418226","129356.667102883",
